"","Date","TMBTM","SCBTMFPLUS","KFMTFI","TMBGF","KF-CINCOME","SCBSETFUND","JB25","ABG","ABSL","ABSM","SCBSEFUND","ABWOOF","PHATRA GNP","TMBUS500"
"1",2556-04-01,"12.5821","10.1467","13.3847","12.3841","10.1010","17.4793","33.3783","111.6992","43.2892","41.1429","12.4122","10.1797","9.9984","10.4227"
"2",2556-04-02,"12.5828","10.1473","13.3862","12.3650","10.1010","17.4964","33.6467","111.5508","43.3124","40.8560","12.2804","10.1797","9.9984","10.3877"
"3",2556-04-03,"12.5836","10.1480","13.3847","12.3924","10.1010","17.1683","33.1274","109.7028","42.5782","40.1327","11.8954","10.1830","9.9984","10.4367"
"4",2556-04-04,"12.5845","10.1487","13.3888","12.3716","10.1010","17.2571","33.3392","110.2147","42.7914","40.3286","11.9680","10.0434","9.9984","10.3318"
"5",2556-04-05,"12.5853","10.1493","13.3916","12.4302","10.1010","16.8144","32.3995","108.1925","41.9699","39.7967","11.6307","10.0434","9.9984","10.3716"
"6",2556-04-09,"12.5886","10.1520","13.3982","12.4914","10.1010","16.6029","32.0603","107.3323","41.6248","39.6762","11.4155","10.0059","9.9984","10.3258"
"7",2556-04-10,"12.5894","10.1527","13.4007","12.5679","10.1010","16.8452","32.4549","108.7619","42.1285","40.1972","11.7051","10.0764","9.9984","10.4209"
"8",2556-04-11,"12.5902","10.1533","13.4020","12.6204","10.1010","17.1411","33.0496","110.0113","42.6481","40.4167","11.9431","10.2138","9.9984","10.5487"
"9",2556-04-12,"12.5910","10.1540","13.4053","12.6419","10.1010","17.2590","33.2660","110.2938","42.7279","40.5279","12.0740","10.1830","9.9984","10.5830"
"10",2556-04-17,"12.5952","10.1573","13.4122","12.6001","10.1010","17.2143","33.1151","110.7655","42.8080","40.8095","12.1899","9.9674","9.9984","10.5551"
"11",2556-04-18,"12.5960","10.1580","13.4176","12.5404","10.1010","17.3102","33.2800","111.1123","42.9131","41.0029","12.2949","9.8391","9.9984","10.3092"
"12",2556-04-19,"12.5968","10.1587","13.4154","12.5191","10.1010","17.5089","33.5778","112.1102","43.3832","41.3084","12.4492","9.8419","9.9984","10.2510"
"13",2556-04-22,"12.5993","10.1607","13.4192","12.5465","10.1010","17.6698","33.7997","113.6866","44.1325","41.6488","12.6368","9.9263","9.9984","10.3287"
"14",2556-04-23,"12.6001","10.1614","13.4208","12.5389","10.1010","17.5581","33.6687","114.1241","44.2561","41.9402","12.5121","9.9729","9.9984","10.3831"
"15",2556-04-24,"12.6010","10.1621","13.4234","12.5331","10.1010","17.6121","33.7761","114.4104","44.4098","41.9216","12.6620","10.0668","9.9984","10.4888"
"16",2556-04-25,"12.6018","10.1627","13.4180","12.5561","10.1010","17.8573","34.3179","115.0321","44.6341","42.1784","12.8257","10.2169","9.9984","10.4900"
"17",2556-04-26,"12.6026","10.1634","13.4191","12.5946","10.1010","17.9532","34.5190","115.6378","44.8136","42.6888","12.8672","10.3448","9.9984","10.5459"
"18",2556-04-29,"12.6051","10.1654","13.4315","12.5778","10.1010","17.9764","34.5188","115.4134","44.7727","42.5633","12.8323","10.3365","9.9984","10.5316"
"19",2556-04-30,"12.6060","10.1661","13.4356","12.6133","10.1010","18.1200","34.9373","115.8506","44.9575","42.4846","12.9413","10.3828","9.9984","10.6022"
"20",2556-05-02,"12.6077","10.1675","13.4431","12.6207","10.1010","18.0408","34.8115","115.9609","44.9946","42.5045","12.8482","10.4246","9.9984","10.6270"
