"","PTT.BK","KTC.BK","CPALL.BK","MINT.BK","SCB.BK","KBANK.BK","CPN.BK","AOT.BK"
"2005-11-01",22.200001,2,3.025,4.66942,48.25,62,6,5
"2005-11-02",22.598,2.02,3,4.95868,49,62.5,5.8,5.05
"2005-11-03",22.799999,2.01,3.025,4.83471,49.75,64,5.65,5.05
"2005-11-04",23,2.01,3,4.83471,50,64.5,5.5,5
"2005-11-07",22.799999,2.01,3.025,4.79339,49.5,64,5.55,5.1
"2005-11-08",22.514999,2.029,3,4.87603,49.5,63.5,5.55,5.05
"2005-11-09",22.4,2.06,3,4.79339,49.75,63,5.75,5.05
"2005-11-10",22.200001,2.11,3,4.75207,49.5,62.5,5.75,5
"2005-11-11",22.200001,2.06,3,4.66942,49.5,63,5.8,5
"2005-11-14",22.4,2.06,2.975,4.71074,49.25,61,5.8,5.05
"2005-11-15",22.4,2.04,3,4.87603,49,62,5.95,5.05
"2005-11-16",22,2.03,2.975,5,48.75,61.5,6,4.925
"2005-11-17",21.799999,2.02,2.95,4.95868,48,60,6.1,4.975
"2005-11-18",21.868999,2.01,3,5.08264,48.5,62,6.1,5
"2005-11-21",21.799999,2.04,3.025,4.95868,48.5,61.5,6.1,5
"2005-11-22",21.973,2.03,3,4.95868,49,61,6.25,5
"2005-11-23",22,2.02,3,4.87603,48.25,60.5,6.15,4.9
"2005-11-24",22.200001,2.02,2.925,4.87603,48,61,6.25,4.875
"2005-11-25",22,2.03,2.925,4.66942,48,61.5,6.3,4.925
"2005-11-28",21.945999,1.97,2.95,4.75207,46.75,60,6.3,4.925
"2005-11-29",22,1.97,2.925,4.87603,47,60.5,6.1,4.95
"2005-11-30",21.6,1.97,2.875,4.79339,47.25,61,6,4.975
"2005-12-01",21.4,1.94,2.9,4.91736,47.25,60.5,6,4.95
"2005-12-02",21.200001,1.92,2.85,4.91736,47.75,60.5,6.15,5
"2005-12-06",22.200001,1.92,2.9,5.49587,49,63,6.25,5
"2005-12-07",23,1.95,2.9,5.33058,51,65.5,6.25,5
"2005-12-08",22.975,2.01,2.875,5.33058,50,66,6.2,5
"2005-12-09",23.200001,2.04,2.9,5.28926,50.5,66,6.2,5.05
"2005-12-13",23,2.06,2.95,5.28926,49.5,66,6.25,5
"2005-12-14",22.799999,1.99,3.025,5.16529,50,67,6.3,5.05
