"","Date","TMBTM","SCBTMFPLUS","KFMTFI","TMBGF","KF-CINCOME","SCBSETFUND","ABG","ABSL","ABSM","JB25","ABWOOF"
"20","1/4/2556","12.5821","10.1467","13.3847","12.3841","10.1010","17.4793","111.6992","43.2892","41.1429","33.3783","10.1797"
"537","2/4/2556","12.5828","10.1473","13.3862","12.3650","10.1010","17.4964","111.5508","43.3124","40.8560","33.6467","10.1797"
"1082","3/4/2556","12.5836","10.1480","13.3847","12.3924","10.1010","17.1683","109.7028","42.5782","40.1327","33.1274","10.1830"
"1203","4/4/2556","12.5845","10.1487","13.3888","12.3716","10.1010","17.2571","110.2147","42.7914","40.3286","33.3392","10.0434"
"1251","5/4/2556","12.5853","10.1493","13.3916","12.4302","10.1010","16.8144","108.1925","41.9699","39.7967","32.3995","10.0434"
"1446","9/4/2556","12.5886","10.1520","13.3982","12.4914","10.1010","16.6029","107.3323","41.6248","39.6762","32.0603","10.0059"
"58","10/4/2556","12.5894","10.1527","13.4007","12.5679","10.1010","16.8452","108.7619","42.1285","40.1972","32.4549","10.0764"
"106","11/4/2556","12.5902","10.1533","13.4020","12.6204","10.1010","17.1411","110.0113","42.6481","40.4167","33.0496","10.2138"
"156","12/4/2556","12.5910","10.1540","13.4053","12.6419","10.1010","17.2590","110.2938","42.7279","40.5279","33.2660","10.1830"
"387","17/4/2556","12.5952","10.1573","13.4122","12.6001","10.1010","17.2143","110.7655","42.8080","40.8095","33.1151","9.9674"
"438","18/4/2556","12.5960","10.1580","13.4176","12.5404","10.1010","17.3102","111.1123","42.9131","41.0029","33.2800","9.8391"
"489","19/4/2556","12.5968","10.1587","13.4154","12.5191","10.1010","17.5089","112.1102","43.3832","41.3084","33.5778","9.8419"
"688","22/4/2556","12.5993","10.1607","13.4192","12.5465","10.1010","17.6698","113.6866","44.1325","41.6488","33.7997","9.9263"
"734","23/4/2556","12.6001","10.1614","13.4208","12.5389","10.1010","17.5581","114.1241","44.2561","41.9402","33.6687","9.9729"
"783","24/4/2556","12.6010","10.1621","13.4234","12.5331","10.1010","17.6121","114.4104","44.4098","41.9216","33.7761","10.0668"
"833","25/4/2556","12.6018","10.1627","13.4180","12.5561","10.1010","17.8573","115.0321","44.6341","42.1784","34.3179","10.2169"
"885","26/4/2556","12.6026","10.1634","13.4191","12.5946","10.1010","17.9532","115.6378","44.8136","42.6888","34.5190","10.3448"
"1033","29/4/2556","12.6051","10.1654","13.4315","12.5778","10.1010","17.9764","115.4134","44.7727","42.5633","34.5188","10.3365"
"1130","30/4/2556","12.6060","10.1661","13.4356","12.6133","10.1010","18.1200","115.8506","44.9575","42.4846","34.9373","10.3828"
"542","2/5/2556","12.6077","10.1675","13.4431","12.6207","10.1010","18.0408","115.9609","44.9946","42.5045","34.8115","10.4246"
"1088","3/5/2556","12.6087","10.1683","13.4486","12.6498","10.1010","17.9351","115.4807","44.7450","42.3239","34.6064","10.4941"
"1349","7/5/2556","12.6118","10.1710","13.4572","12.7274","10.1010","18.1944","117.1074","45.3527","42.7330","35.3358","10.5928"
"1398","8/5/2556","12.6126","10.1717","13.4517","12.7764","10.1010","18.3441","117.0439","45.4087","42.7552","35.6438","10.7004"
"1451","9/5/2556","12.6135","10.1724","13.4592","12.7999","10.1010","18.4207","118.3634","45.8826","43.5749","35.8107","10.7004"
"63","10/5/2556","12.6143","10.1731","13.4656","12.8193","10.1010","18.4213","118.3634","45.8826","43.5749","35.8644","10.7004"
"203","13/5/2556","12.6168","10.1752","13.4655","12.7709","10.1010","18.3804","117.8408","45.6708","43.7598","35.5854","10.6662"
"247","14/5/2556","12.6176","10.1759","13.4538","12.7385","10.1010","18.4615","118.6445","46.0137","43.8726","35.6686","10.6134"
"291","15/5/2556","12.6184","10.1765","13.4586","12.7351","10.1010","18.5351","118.6936","46.0259","44.0635","35.9103","10.6924"
"341","16/5/2556","12.6192","10.1773","13.4640","12.7184","10.1010","18.3955","117.9524","45.6808","43.9945","35.6380","10.6826"
"392","17/5/2556","12.6200","10.1780","13.4679","12.6854","10.1010","18.5131","118.9831","45.9653","44.4442","35.9333","10.7577"
"593","20/5/2556","12.6225","10.1801","13.4722","12.6907","10.1010","18.6947","120.0581","46.4046","44.6994","36.3552","10.7577"
"643","21/5/2556","12.6234","10.1808","13.4789","12.6904","10.1010","18.6846","120.4598","46.5570","44.8718","36.3722","10.7577"
"692","22/5/2556","12.6242","10.1814","13.4748","12.6883","10.1010","18.5432","119.5951","46.1603","44.9104","35.9958","10.7776"
"738","23/5/2556","12.6250","10.1821","13.4694","12.6690","10.1010","18.2668","118.2674","45.5509","44.7253","35.3934","10.6712"
"942","27/5/2556","12.6282","10.1847","13.4728","12.5875","10.1010","18.0925","117.7690","45.3594","44.0128","35.0033","10.6181"
"991","28/5/2556","12.6291","10.1853","13.4714","12.5723","10.1010","18.3873","119.3520","45.9654","44.5252","35.6653","10.6996"
"1037","29/5/2556","12.6299","10.1860","13.4690","12.5494","10.1010","18.1879","118.0153","45.4251","44.2064","35.1585","10.7173"
"1134","30/5/2556","12.6307","10.1867","13.4710","12.4572","10.1010","17.9578","117.0032","44.9526","43.8157","34.6122","10.6530"
"1166","31/5/2556","12.6316","10.1874","13.4718","12.4362","10.1010","17.7338","115.7724","44.4152","43.1933","34.0557","10.6946"
"1092","3/6/2556","12.6340","10.1894","13.4681","12.3797","10.1010","17.4706","114.3898","43.9503","42.5629","33.6076","10.6385"
"1212","4/6/2556","12.6348","10.1901","13.4686","12.4168","10.1010","17.6614","115.2252","44.2413","42.7848","34.1242","10.6896"
"1257","5/6/2556","12.6356","10.1908","13.4717","12.4328","10.1010","17.2911","113.6167","43.5724","42.3455","33.3489","10.6505"
"1304","6/6/2556","12.6365","10.1915","13.4741","12.3647","10.1010","16.9277","110.8716","42.6671","41.1175","32.9457","10.5635"
"1353","7/6/2556","12.6373","10.1922","13.4726","12.3060","10.1010","17.2168","112.1038","43.2237","41.4800","33.5938","10.5804"
"66","10/6/2556","12.6396","10.1941","13.4646","12.3342","10.1010","17.3516","113.1661","43.5829","41.9176","33.8090","10.6659"
"115","11/6/2556","12.6404","10.1948","13.4421","12.2498","10.1010","16.4965","108.7803","41.8161","40.5559","32.0479","10.6660"
"164","12/6/2556","12.6412","10.1955","13.4335","12.1398","10.1010","16.2819","108.1234","41.5839","40.4372","31.6829","10.4935"
"206","13/6/2556","12.6420","10.1961","13.4412","12.1772","10.1010","15.9562","105.5339","40.6740","39.3841","31.3021","10.4935"
"251","14/6/2556","12.6429","10.1968","13.4578","12.2221","10.1010","16.6518","109.6823","42.3240","40.6716","32.6736","10.5029"
"396","17/6/2556","12.6453","10.1988","13.4497","12.2462","10.1010","16.7040","109.6407","42.3094","41.2182","32.8015","10.6065"
"447","18/6/2556","12.6461","10.1995","13.4448","12.2198","10.1010","16.1998","106.7975","41.1312","40.3729","31.7470","10.6510"
"497","19/6/2556","12.6469","10.2001","13.4451","12.1523","10.1010","16.3081","107.0925","41.2750","40.1535","32.2597","10.6235"
"596","20/6/2556","12.6477","10.2008","13.4334","12.1467","10.1010","15.8940","104.4780","40.2597","39.2203","31.5452","10.4726"
"647","21/6/2556","12.6485","10.2015","13.4281","11.9512","10.1010","15.8699","103.5355","39.9404","38.7480","31.6386","10.3602"
"791","24/6/2556","12.6509","10.2034","13.4265","11.9296","10.1010","15.4695","101.7804","39.2176","38.3224","30.8052","10.1777"
"842","25/6/2556","12.6518","10.2041","13.4352","11.8570","10.1010","15.7167","102.4808","39.5077","38.5194","31.4624","10.1180"
"893","26/6/2556","12.6526","10.2048","13.4378","11.9486","10.1010","16.1789","104.9320","40.4407","39.1122","32.3749","10.2653"
"946","27/6/2556","12.6536","10.2055","13.4430","11.9621","10.1010","16.4356","106.8527","41.1795","39.5495","33.0410","10.3824"
"995","28/6/2556","12.6543","10.2061","13.4492","12.0502","10.1010","16.4901","106.2442","40.9940","39.1808","33.1970","10.4302"
"550","2/7/2556","12.6574","10.2087","13.4572","12.0842","10.1010","16.6277","107.2018","41.3075","39.6203","33.4165","10.4369"
"1096","3/7/2556","12.6582","10.2093","13.4593","12.1374","10.1010","16.3853","105.5933","40.6903","39.0380","32.9383","10.4254"
"1216","4/7/2556","12.6590","10.2100","13.4555","12.1041","10.1010","16.2294","105.0301","40.4309","38.9231","32.6560","10.4841"
"1262","5/7/2556","12.6598","10.2105","13.4555","12.1628","10.1010","16.3480","105.6583","40.7155","39.1421","32.9746","10.5499"
"1407","8/7/2556","12.6621","10.2124","13.4484","12.1165","10.1010","15.9197","102.9242","39.6276","38.1038","32.1220","10.5731"
